"rep","p","THCM_RMSE_adaptive","THCM_RMSE_fixed","THCM_R2_adaptive","THCM_R2_fixed","ICM_RMSE_adaptive","ICM_RMSE_fixed","ICM_R2_adaptive","ICM_R2_fixed","sel_adaptive","sel_fixed","jaccard"
11,20000,0.188828317069422,0.19446806638221,0.711212494772936,0.693704408600067,0.277379742800997,0.280938743975906,0.651323295637843,0.642318298278195,866,901,0.173306772908367
12,20000,0.207827292884574,0.190790511661427,0.687788418754271,0.736877859787451,0.298154698400712,0.279124066895892,0.572212207060228,0.625079108315242,895,862,0.191186440677966
13,20000,0.165441841651035,0.161932718964739,0.803995247000483,0.812221827882968,0.376507512185226,0.378508844919713,0.574358570855054,0.569821534486275,774,800,0.165062916358253
14,20000,0.183099846577809,0.166368145923486,0.774232084220003,0.81360827986349,0.506477331057327,0.509699581921305,0.440685077139129,0.433545622224936,761,893,0.171388101983003
15,20000,0.169198327125193,0.189870019794186,0.767212867122436,0.706856929141121,0.434115769571603,0.423617062780117,0.545416299552252,0.567137837757709,783,876,0.14968814968815
16,20000,0.204744404481175,0.20221634204875,0.735015812921831,0.741519148898563,0.35375432097456,0.342594358528268,0.627173861421016,0.650326065170612,840,1085,0.194168734491315
17,20000,0.186969309646938,0.200083585388408,0.695410480771568,0.651183332476943,0.54043617591504,0.539577452372098,0.434732932810023,0.436527862597338,897,913,0.170006464124111
18,20000,0.218203716790758,0.221861595260128,0.687920628003154,0.677369784420372,0.504275279569427,0.512238301141418,0.399577962279927,0.380465689119733,670,875,0.155572176514585
19,20000,0.206981376142749,0.187680516696911,0.48017359943891,0.572600339337656,0.332960916345007,0.324799972086077,0.667541721482445,0.683639245922654,820,882,0.139223560910308
20,20000,0.180377539661315,0.191163764606828,0.714063400615527,0.67884404508857,0.472151031273211,0.473901521036191,0.484408328249101,0.48057815123639,921,1033,0.209907120743034
